Sox,count
Purple Sox,1
AquaSox,1
Baysox,1
C-Sox,1
ChaSox,1
Cor-Sox,1
Cubsox,1
DavSox,1
Grey Sox,1
JoSox,1
Ro-Sox,1
Sky Sox,1
Silk Sox,2
Solar Sox,2
Gold Sox,3
Silver Sox,3
Sox,4
Black Sox,5
Sun Sox,5
Green Sox,9
Blue Sox,19
White Sox,44
Red Sox,73
